x,y,u,v,p
0.0010524,8.7604e-05,-1.1994e-05,3.2512e-06,-0.00063095
0.001116,9.2891e-05,-1.4673e-05,3.6598e-06,-0.00063271
0.0011867,9.8781e-05,-1.7528e-05,3.9367e-06,-0.00063422
0.0012655,0.00010534,-2.0174e-05,3.944e-06,-0.00063515
0.0013533,0.00011265,-2.1939e-05,3.5016e-06,-0.00063498
0.0014511,0.00012079,-2.1846e-05,2.4042e-06,-0.00063316
0.0015601,0.00012986,-1.8639e-05,4.4791e-07,-0.00062908
0.0016815,0.00013997,-1.0821e-05,-2.5356e-06,-0.00062222
0.0018167,0.00015122,3.2729e-06,-6.6401e-06,-0.0006121
0.0019673,0.00016376,2.5312e-05,-1.1893e-05,-0.00059848
0.0021351,0.00017772,5.6978e-05,-1.8276e-05,-0.00058131
0.002322,0.00019328,9.958e-05,-2.5715e-05,-0.00056081
0.0025302,0.00021062,0.00015464,-3.4082e-05,-0.0005372
0.0027622,0.00022992,0.00022215,-4.3182e-05,-0.00051119
0.0030206,0.00025143,0.00030468,-5.3064e-05,-0.0004827
0.0033084,0.00027539,0.00039778,-6.2696e-05,-0.00045337
0.003629,0.00030208,0.00051155,-7.3588e-05,-0.00042125
0.0039862,0.00033181,0.00063125,-8.1303e-05,-0.0003907
0.00049688,5.5748e-05,0.0,0.0,-0.00061478
0.00049724,5.5788e-05,-1.2231e-10,1.0319e-09,-0.00061478
0.00049764,5.5833e-05,-1.5294e-10,1.4972e-09,-0.0006148
0.00049808,5.5883e-05,-1.7634e-10,1.8567e-09,-0.00061482
0.00049857,5.5938e-05,-2.0615e-10,2.3014e-09,-0.00061483
0.00049912,5.5999e-05,-2.4234e-10,2.8522e-09,-0.00061486
0.00049973,5.6068e-05,-2.8374e-10,3.5343e-09,-0.00061488
0.00050041,5.6144e-05,-3.3033e-10,4.3786e-09,-0.00061491
0.00050117,5.6229e-05,-3.8186e-10,5.4234e-09,-0.00061494
0.00050201,5.6324e-05,-4.3728e-10,6.7156e-09,-0.00061497
0.00050295,5.643e-05,-4.9443e-10,8.313e-09,-0.000615
0.000504,5.6547e-05,-5.4957e-10,1.0286e-08,-0.00061504
0.00050517,5.6678e-05,-5.9668e-10,1.2723e-08,-0.00061509
0.00050647,5.6824e-05,-6.2637e-10,1.5728e-08,-0.00061514
0.00050792,5.6987e-05,-6.2462e-10,1.943e-08,-0.00061519
0.00050953,5.7168e-05,-5.7094e-10,2.3986e-08,-0.00061525
0.00051133,5.737e-05,-4.3605e-10,2.9582e-08,-0.00061532
0.00051333,5.7594e-05,-1.791e-10,3.6443e-08,-0.00061539
0.00051557,5.7845e-05,2.5558e-10,4.4832e-08,-0.00061548
0.00051805,5.8124e-05,9.4172e-10,5.5059e-08,-0.00061557
0.00052082,5.8434e-05,1.9733e-09,6.7474e-08,-0.00061567
0.0005239,5.878e-05,3.4633e-09,8.2469e-08,-0.00061578
0.00052734,5.9166e-05,5.538e-09,1.0046e-07,-0.0006159
0.00053117,5.9595e-05,8.3216e-09,1.2188e-07,-0.00061604
0.00053543,6.0074e-05,1.1892e-08,1.471e-07,-0.00061619
0.00054018,6.0606e-05,1.6128e-08,1.7633e-07,-0.00061637
0.00054547,6.12e-05,2.0656e-08,2.0966e-07,-0.00061657
0.00055137,6.1861e-05,2.4696e-08,2.4705e-07,-0.0006168
0.00055793,6.2598e-05,2.6626e-08,2.8831e-07,-0.00061706
0.00056525,6.3419e-05,2.4165e-08,3.3324e-07,-0.00061737
0.00057339,6.4333e-05,1.3911e-08,3.8151e-07,-0.00061772
0.00058247,6.5351e-05,-9.217e-09,4.3266e-07,-0.00061813
0.00059258,6.6486e-05,-4.9707e-08,4.866e-07,-0.00061861
0.00060385,6.7749e-05,-1.1273e-07,5.4409e-07,-0.00061915
0.00061639,6.9157e-05,-2.0524e-07,6.067e-07,-0.00061975
0.00063037,7.0725e-05,-3.3331e-07,6.7674e-07,-0.00062042
0.00064594,7.2472e-05,-5.0259e-07,7.5725e-07,-0.00062115
0.00066329,7.4418e-05,-7.1956e-07,8.5206e-07,-0.00062194
0.00068261,7.6586e-05,-9.9217e-07,9.6571e-07,-0.00062278
